Food Name
"amaranth, flour"
"apples, fuji"
"apples, fuji, with skin, raw"
"apples, gala"
"apples, gala, with skin, raw"
"apples, granny smith"
"apples, granny smith, with skin, raw"
"apples, honeycrisp"
"apples, honeycrisp, with skin, raw"
"apples, red delicious"
"apples, red delicious, with skin, raw"
"apricot, with skin, pitted, raw"
"apricot, with skin, raw"
"arugula, baby, raw"
"asparagus, green, whole spear, raw"
"avocado, hass, peeled, pit removed, raw"
"avocado, hass, peeled, raw"
"bananas, overripe"
"bananas, overripe, medium size"
"bananas, overripe, raw"
"bananas, ripe"
"bananas, ripe and slightly ripe, raw"
"bananas, ripe, medium size"
"bananas, slightly ripe"
"bananas, slightly ripe, medium size"
"beans, cannellini, dry"
"beans, chickpeas/garbanzos, dry"
"beans, dry, great northern, 723 (0% moisture)"
"beans, dry, great northern, 726 (0% moisture)"
"beans, dry, great northern, 730 (0% moisture)"
"beans, dry, great northern, 741 (0% moisture)"
"beans, dry, great northern, 742 (0% moisture)"
"beans, dry, great northern, 748 (0% moisture)"
"beans, dry, great northern, 762 (0% moisture)"
"beans, dry, great northern, 763 (0% moisture)"
"beans, dry, great northern, 766 (0% moisture)"
"beans, dry, great northern, 768 (0% moisture)"
"beans, dry, great northern, 777 (0% moisture)"
"beans, dry, great northern, 778 (0% moisture)"
"beans, dry, great northern, 780 (0% moisture)"
"beans, dry, great northern, 788 (0% moisture)"
"beans, dry, great northern, 789 (0% moisture)"
"beans, dry, great northern, 790 (0% moisture)"
"beans, dry, great northern, 792 (0% moisture)"
"beans, dry, great northern, 800 (0% moisture)"
"beans, dry, great northern, 818 (0% moisture)"
"beans, dry, great northern, 822 (0% moisture)"
"beans, dry, great northern, 824 (0% moisture)"
"beans, dry, great northern, 826 (0% moisture)"
"beans, dry, great northern, 827 (0% moisture)"
"beans, dry, great northern, 828 (0% moisture)"
"beans, dry, light red kidney (0% moisture)"
"beans, dry, light tan (0% moisture)"
"beans, dry, medium red (0% moisture)"
"beans, dry, medium red, 490 (0% moisture)"
"beans, dry, medium red, 756 (0% moisture)"
"beans, dry, navy (0% moisture)"
"beans, dry, navy, 213 (0% moisture)"
"beans, dry, navy, 216 (0% moisture)"
"beans, dry, navy, 220 (0% moisture)"
"beans, dry, navy, 226 (0% moisture)"
"beans, dry, navy, 228 (0% moisture)"
"beans, dry, navy, 229 (0% moisture)"
"beans, dry, navy, 230 (0% moisture)"
"beans, dry, navy, 233 (0% moisture)"
"beans, dry, navy, 234 (0% moisture)"
"beans, dry, navy, 236 (0% moisture)"
"beans, dry, navy, 237 (0% moisture)"
"beans, dry, navy, 241 (0% moisture)"
"beans, dry, navy, 242 (0% moisture)"
"beans, dry, navy, 245 (0% moisture)"
"beans, dry, navy, 246 (0% moisture)"
"beans, dry, navy, 252 (0% moisture)"
"beans, dry, navy, 253 (0% moisture)"
"beans, dry, navy, 255 (0% moisture)"
"beans, dry, navy, 256 (0% moisture)"
"beans, dry, navy, 257 (0% moisture)"
"beans, dry, navy, 260 (0% moisture)"
"beans, dry, navy, 261 (0% moisture)"
"beans, dry, navy, 262 (0% moisture)"
"beans, dry, navy, 264 (0% moisture)"
"beans, dry, navy, 268 (0% moisture)"
"beans, dry, navy, 277 (0% moisture)"
"beans, dry, navy, 279 (0% moisture)"
"beans, dry, navy, 280 (0% moisture)"
"beans, dry, navy, 281 (0% moisture)"
"beans, dry, navy, 283 (0% moisture)"
"beans, dry, navy, 284 (0% moisture)"
"beans, dry, navy, 287 (0% moisture)"
"beans, dry, navy, 289 (0% moisture)"
"beans, dry, navy, 290 (0% moisture)"
"beans, dry, navy, 292 (0% moisture)"
"beans, dry, navy, 294 (0% moisture)"
"beans, dry, navy, 295 (0% moisture)"
"beans, dry, navy, 299 (0% moisture)"
"beans, dry, navy, 307 (0% moisture)"
"beans, dry, navy, 308 (0% moisture)"
"beans, dry, navy, 311 (0% moisture)"
"beans, dry, navy, 312 (0% moisture)"
"beans, dry, navy, 313 (0% moisture)"
"beans, dry, navy, 316 (0% moisture)"
"beans, dry, navy, 319 (0% moisture)"
"beans, dry, navy, 320 (0% moisture)"
"beans, dry, navy, 386 (0% moisture)"
"beans, dry, navy, 422 (0% moisture)"
"beans, dry, navy, 476 (0% moisture)"
"beans, dry, navy, 521 (0% moisture)"
"beans, dry, navy, 523 (0% moisture)"
"beans, dry, navy, 524 (0% moisture)"
"beans, dry, navy, 525 (0% moisture)"
"beans, dry, navy, 530 (0% moisture)"
"beans, dry, navy, 532 (0% moisture)"
"beans, dry, navy, 535 (0% moisture)"
"beans, dry, navy, 539 (0% moisture)"
"beans, dry, navy, 541 (0% moisture)"
"beans, dry, navy, 543 (0% moisture)"
"beans, dry, navy, 546 (0% moisture)"
"beans, dry, navy, 548 (0% moisture)"
"beans, dry, navy, 551 (0% moisture)"
"beans, dry, navy, 554 (0% moisture)"
"beans, dry, navy, 555 (0% moisture)"
"beans, dry, navy, 556 (0% moisture)"
"beans, dry, navy, 557 (0% moisture)"
"beans, dry, navy, 558 (0% moisture)"
"beans, dry, navy, 559 (0% moisture)"
"beans, dry, navy, 560 (0% moisture)"
"beans, dry, navy, 561 (0% moisture)"
"beans, dry, navy, 565 (0% moisture)"
"beans, dry, navy, 567 (0% moisture)"
"beans, dry, navy, 568 (0% moisture)"
"beans, dry, navy, 576 (0% moisture)"
"beans, dry, navy, 578 (0% moisture)"
"beans, dry, navy, 582 (0% moisture)"
"beans, dry, navy, 584 (0% moisture)"
"beans, dry, navy, 585 (0% moisture)"
"beans, dry, navy, 586 (0% moisture)"
"beans, dry, navy, 587 (0% moisture)"
"beans, dry, navy, 588 (0% moisture)"
"beans, dry, navy, 589 (0% moisture)"
"beans, dry, navy, 595 (0% moisture)"
"beans, dry, navy, 598 (0% moisture)"
"beans, dry, navy, 599 (0% moisture)"
"beans, dry, navy, 603 (0% moisture)"
"beans, dry, navy, 605 (0% moisture)"
"beans, dry, navy, 609 (0% moisture)"
"beans, dry, navy, 612 (0% moisture)"
"beans, dry, navy, 613 (0% moisture)"
"beans, dry, navy, 614 (0% moisture)"
"beans, dry, navy, 623 (0% moisture)"
"beans, dry, navy, 626 (0% moisture)"
"beans, dry, navy, 627 (0% moisture)"
"beans, dry, navy, 628 (0% moisture)"
"beans, dry, navy, 719 (0% moisture)"
"beans, dry, navy, 721 (0% moisture)"
"beans, dry, navy, 771 (0% moisture)"
"beans, dry, pink (0% moisture)"
"beans, dry, pink, 321 (0% moisture)"
"beans, dry, pink, 338 (0% moisture)"
"beans, dry, pink, 342 (0% moisture)"
"beans, dry, pink, 354 (0% moisture)"
"beans, dry, pink, 359 (0% moisture)"
"beans, dry, pink, 399 (0% moisture)"
"beans, dry, pink, 404 (0% moisture)"
"beans, dry, pink, 411 (0% moisture)"
"beans, dry, pink, 430 (0% moisture)"
"buckwheat, flour"
"buckwheat, whole grain"
"cantaloupe, wheaton , il, nf0009v9, outlet6"
"chia seeds, dry, raw"
"chia seeds, whole, dry, raw"
"chickpeas, (garbanzo beans, bengal gram), dry"
"farro, pearled, dry, raw"
"flour, buckwheat"
"grapes, green, seedless, fresh, raw"
"grapes, green, seedless, raw"
"grapes, red, seedless, fresh, raw"
"grapes, red, seedless, raw"
"melons, cantaloupe, raw"
"nectarines, price, mo2, nf0008ul"
"peaches, beaumont , tx, nf0009uh, outlet23"
"peaches, canonsburg/mcmurray , pa, nf0009uj, outlet16"
"peaches, conroe , tx, nf0009ui, outlet22"
"peaches, franklin , pa, nf0009ul, outlet18"
"peaches, longview , wa, nf0009sw, outlet13"
"peaches, los angeles, ca, nf0009su, outlet3"
"peaches, mena , ar, nf0009sv, outlet1"
"peaches, springfield , mo, nf0009sx, outlet8"
"peaches, springfield , nj, nf0009uk, outlet9"
"peaches, wheaton , il, nf0009va, outlet6"
"peaches, yellow, raw"
"peanut butter, creamy"
"peanut butter, smooth style, with salt"
"peanuts, raw"
"pear, anjou, green, with skin, raw"
"pear, anjou, green, with skin, seeded, core removed, raw"
"peppers, bell, orange, raw"
"peppers, bell, orange, raw, mini"
"pickles, kosher, dill, spears, claussen"
"pickles, kosher, dill, spears, mt. olive"
"pickles, kosher, dill, spears, other"
"pineapple, raw"
"sorghum flour, white, pearled, unenriched, dry, raw"
"sorghum grain, white, pearled, unenriched, dry, raw"
"squash, acorn, raw"
"squash, butternut, raw"
"squash, summer, green, zucchini, includes skin, raw"
"squash, winter, acorn, raw"
"squash, winter, butternut, raw"
"squash, zucchini, raw"
"strawberries,  price, mo2, nf0008sf"
"strawberries,  price, mo2, nf0008sg"
"strawberries,  price, mo2, nf0008sh"
"sweet potatoes, orange flesh, without skin, raw"
